x,y
12952464.135578373,4858966.740925647
12957702.942134596,4873917.736069078
12984651.164465835,4891083.367460128
12963054.292696012,4854863.661461633
12926377.63742537,4901147.858834062
12962815.51238826,4861595.193493749
12948038.963180361,4867468.228224237
12960990.206697723,4856928.128656722
13005877.787609275,4921521.483353706
12964793.993698128,4850699.304067025
12964331.461213883,4846922.487091477
12963052.51158416,4859311.633024267
12962931.729936648,4855388.556695775
12964159.583920099,4849391.073413782
12957164.489757631,4847601.874717221
12950925.366257139,4872507.270225483
12958074.526594866,4858094.761897757
12974986.628914144,4853886.8146563405
12963376.339982878,4851948.645808467
12963254.77909893,4851190.60602934
12983092.914233709,4852344.521099315
12959703.576023133,4872147.959987616
12967724.590612752,4852689.038304363
12951174.053999571,4870790.0855554985
12928255.708554545,4825970.975644896
12986198.61670735,4847890.52696984
12961399.194506897,4856038.472312987
12960042.65519209,4860065.645168586
12951052.827074097,4850405.7823156975
12959576.337845158,4891176.60732194
12949591.647437945,4825417.959514869
12969025.915460126,4845130.976978648
12947504.18434659,4810564.995472846
12958457.354323704,4850529.690095215
12946894.821453989,4844254.8453942295
12970620.56716574,4873510.819560398
